"","SiteID","Total_Vessels","Begin_Hour_loc","Begin_Date_loc","ves_yn","Weekday","Week","Month","Day_month","trans_inside","man_inside","total_inside"
"268","Cod Grounds",1,12,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"269","Cod Grounds",1,13,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"270","Cod Grounds",0,14,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"271","Cod Grounds",0,15,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"272","Cod Grounds",0,16,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"273","Cod Grounds",0,17,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"274","Cod Grounds",0,18,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"275","Cod Grounds",0,19,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"276","Cod Grounds",1,20,2019-04-28,"Y","Sunday",17,4,28,1,0,1
"277","Cod Grounds",0,21,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"278","Cod Grounds",1,22,2019-04-28,"Y","Sunday",17,4,28,NA,NA,NA
"279","Cod Grounds",0,23,2019-04-28,"N","Sunday",17,4,28,NA,NA,NA
"280","Cod Grounds",0,0,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"281","Cod Grounds",0,1,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"282","Cod Grounds",0,2,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"283","Cod Grounds",1,3,2019-04-29,"Y","Monday",17,4,29,NA,NA,NA
"284","Cod Grounds",0,4,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"285","Cod Grounds",0,5,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"286","Cod Grounds",1,6,2019-04-29,"Y","Monday",17,4,29,NA,NA,NA
"287","Cod Grounds",0,7,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"288","Cod Grounds",0,8,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"289","Cod Grounds",0,9,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"290","Cod Grounds",1,10,2019-04-29,"Y","Monday",17,4,29,NA,NA,NA
"291","Cod Grounds",0,11,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"292","Cod Grounds",1,12,2019-04-29,"Y","Monday",17,4,29,NA,NA,NA
"293","Cod Grounds",0,13,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"294","Cod Grounds",0,14,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"295","Cod Grounds",0,15,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"296","Cod Grounds",0,16,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"297","Cod Grounds",0,17,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"298","Cod Grounds",0,18,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"299","Cod Grounds",0,19,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"300","Cod Grounds",0,20,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"301","Cod Grounds",0,21,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
"302","Cod Grounds",0,22,2019-04-29,"N","Monday",17,4,29,NA,NA,NA
