,Filename,Date,Selection,RMS,PeakFreq,PeakLev,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll
116,5458.210602052747_sel05_S20.wav,2.10602E+11,S20,106.9823441,494,72.83758399,1,59,641,0,470,0,0,0.084285714,0,NA,0.05042735
117,5458.210602052747_sel06_S16.wav,2.10602E+11,S16,107.654608,177,87.31826499,1,111,83,0,911,0,117,0.572164948,0,0,0.100452489
118,5458.210602052747_sel06_S3.wav,2.10602E+11,S3,108.824453,1986,75.72391512,1,77,487,0,624,0,0,0.136524823,0,NA,0.064814815
119,5458.210602052747_sel09_S4.wav,2.10602E+11,S4,107.3774249,228,90.22270501,1,114,28,0,771,0,312,0.802816901,0,0,0.124863089
120,5458.210602052747_sel10_S17.wav,2.10602E+11,S17,107.4798096,150,72.34323187,1,55,670,0,441,0,0,0.075862069,0,NA,0.047169811
121,5458.210602052747_sel11_S18.wav,2.10602E+11,S18,106.1287905,331,80.12900158,1,96,295,0,816,0,0,0.245524297,0,NA,0.07953604
122,5458.210602052747_sel12_S19.wav,2.10602E+11,S19,106.6237977,940,73.46014859,1,64,606,0,505,0,0,0.095522388,0,NA,0.054468085
123,5458.210602052747_sel12_S5.wav,2.10602E+11,S5,111.0332338,128,89.62173254,1,113,38,0,800,0,273,0.748344371,0,0,0.118822292
124,5458.210602052747_sel17_S6.wav,2.10602E+11,S6,109.1834715,2772,74.00962741,1,67,576,0,535,0,0,0.104199067,0,NA,0.056876061
125,5458.210602052747_sel18_S7.wav,2.10602E+11,S7,130.8670339,329,109.5243621,1,15,0,106,40,0,278,1,0.726027397,0,0.751552795
126,5458.210602052747_sel19_S8.wav,2.10602E+11,S8,115.4250442,88,96.65935863,1,68,0,50,442,0,598,1,0.101626016,0,0.210714286
127,5458.210602052747_sel20_S9.wav,2.10602E+11,S9,123.6171654,133,104.7712665,1,26,0,94,145,0,391,1,0.393305439,0,0.452830189
128,5458.210602052747_sel21_S10.wav,2.10602E+11,S10,127.870691,111,116.5112778,1,6,0,66,0,49,101,1,1,0.326666667,1
129,5458.210602052747_sel23_S11.wav,2.10602E+11,S11,113.7960017,321,89.39462177,1,113,42,0,810,0,259,0.729032258,0,0,0.117098446
130,5458.210602052747_sel25_S12.wav,2.10602E+11,S12,108.6725603,267,85.77412326,1,109,119,0,986,0,6,0.478070175,0,0,0.089785832
131,5458.210602052747_sel29_S13.wav,2.10602E+11,S13,108.5660925,149,80.23646961,1,96,291,0,820,0,0,0.248062016,0,NA,0.07953604
132,5458.210602052747_sel30_S2.wav,2.10602E+11,S2,109.8502456,134,86.50321242,1,110,101,0,951,0,59,0.521327014,0,0,0.094664372
133,5458.210602052747_sel32_S20.wav,2.10602E+11,S20,107.0849272,294,77.8528689,1,87,388,0,723,0,0,0.183157895,0,NA,0.072621035
134,5458.210602052747_sel33_S21.wav,2.10602E+11,S21,111.0429599,218,92.84931148,1,106,0,10,640,0,471,1,0.015384615,0,0.153439153
135,5458.210602052747_sel36_S22.wav,2.10602E+11,S22,109.0058784,629,87.28742594,1,111,84,0,912,0,115,0.569230769,0,0,0.100271003
136,5458.210602052747_sel38_S23.wav,2.10602E+11,S23,110.8433868,1907,77.99356213,1,88,382,0,729,0,0,0.187234043,0,NA,0.073394495
137,5458.210603052735_sel01_S1.wav,2.10603E+11,S1,130.6746778,2921,111.9980821,1,11,0,110,1,0,227,1,0.990990991,0,0.991803279
138,5458.210603052735_sel02_S13.wav,2.10603E+11,S13,106.9264192,206,77.69405768,1,87,395,0,716,0,0,0.180497925,0,NA,0.072621035
139,5458.210603052735_sel04_S2.wav,2.10603E+11,S2,114.2326332,94,95.87973477,1,75,0,43,480,0,617,1,0.082217973,0,0.197324415
140,5458.210603052735_sel07_S15.wav,2.10603E+11,S15,107.9157936,203,76.66938909,1,82,442,0,669,0,0,0.15648855,0,NA,0.068734283
141,5458.210603052735_sel07_S3.wav,2.10603E+11,S3,109.1728401,191,88.21770851,1,112,64,0,867,0,180,0.636363636,0,0,0.10738255
142,5458.210603052735_sel08_S4.wav,2.10603E+11,S4,118.0549523,3537,94.42161689,1,89,0,28,554,0,557,1,0.048109966,0,0.174366617
143,5458.210603052735_sel09_S5.wav,2.10603E+11,S5,110.3263406,188,83.38806952,1,104,184,0,927,0,0,0.361111111,0,NA,0.085596708
144,5458.210603052735_sel11_S6.wav,2.10603E+11,S6,109.0367101,180,90.3274689,1,114,26,0,766,0,319,0.814285714,0,0,0.125827815
145,5458.210603052735_sel12_S7.wav,2.10603E+11,S7,108.0560323,52,86.93538914,1,110,91,0,930,0,90,0.547263682,0,0,0.097259063
146,5458.210603052735_sel14_S8.wav,2.10603E+11,S8,109.0406924,184,92.66282608,1,108,0,8,651,0,460,1,0.012139605,0,0.151238592
147,5458.210603052735_sel16_S9.wav,2.10603E+11,S9,106.554101,290,77.71096234,1,87,394,0,717,0,0,0.180873181,0,NA,0.072621035
148,5458.210603052735_sel17_S10.wav,2.10603E+11,S10,106.5474556,214,73.55131375,1,64,601,0,510,0,0,0.096240602,0,NA,0.054468085
149,5458.210603052735_sel23_S12.wav,2.10603E+11,S12,111.9930426,156,94.06442734,1,92,0,25,573,0,538,1,0.04180602,0,0.169565217
150,5458.210604052722_sel01_S1.wav,2.10604E+11,S1,128.3835092,122,113.3930184,1,9,0,95,0,17,184,1,1,0.084577114,1
151,5458.210604052722_sel02_S17.wav,2.10604E+11,S17,108.8561265,257,86.6430509,1,110,98,0,944,0,69,0.528846154,0,0,0.095486111
152,5458.210604052722_sel02_S2.wav,2.10604E+11,S2,109.1463136,354,74.20662118,1,68,565,0,546,0,0,0.107424961,0,NA,0.057675997
153,5458.210604052722_sel05_S18.wav,2.10604E+11,S18,106.3168356,387,69.49548671,1,29,846,0,265,0,0,0.033142857,0,NA,0.025438596
154,5458.210604052722_sel05_S9.wav,2.10604E+11,S9,110.7577729,123,87.2735621,1,111,84,0,913,0,114,0.569230769,0,0,0.100180505
155,5458.210604052722_sel06_S3.wav,2.10604E+11,S3,118.1966958,323,104.0625994,1,28,0,92,164,0,409,1,0.359375,0,0.422535211
156,5458.210604052722_sel07_S10.wav,2.10604E+11,S10,111.9792717,133,86.0223619,1,109,113,0,974,0,24,0.490990991,0,0,0.091137124
157,5458.210604052722_sel08_S11.wav,2.10604E+11,S11,109.0472292,324,75.68594918,1,77,489,0,622,0,0,0.136042403,0,NA,0.064814815
158,5458.210604052722_sel10_S12.wav,2.10604E+11,S12,109.0731981,265,75.83357556,1,78,482,0,629,0,0,0.139285714,0,NA,0.065601346
159,5458.210604052722_sel11_S4.wav,2.10604E+11,S4,112.5644801,2387,98.02482442,1,59,0,60,380,0,564,1,0.136363636,0,0.238476954
160,5458.210604052722_sel12_S20.wav,2.10604E+11,S20,106.8445033,179,84.06266214,1,106,164,0,947,0,0,0.392592593,0,NA,0.087099425
161,5458.210604052722_sel13_S5.wav,2.10604E+11,S5,111.6566323,1879,83.43601574,1,104,182,0,929,0,0,0.363636364,0,NA,0.085596708
162,5458.210604052722_sel16_S22.wav,2.10604E+11,S22,108.1935777,184,90.63189062,1,114,21,0,752,0,338,0.844444444,0,0,0.128523112
163,5458.210604052722_sel18_S23.wav,2.10604E+11,S23,108.326058,132,83.48501109,1,104,181,0,930,0,0,0.364912281,0,NA,0.085596708
164,5458.210604052722_sel18_S6.wav,2.10604E+11,S6,108.885342,319,86.98037722,1,110,90,0,927,0,94,0.55,0,0,0.097604259
165,5458.210604052722_sel19_S24.wav,2.10604E+11,S24,107.9356356,65,87.4173874,1,111,81,0,906,0,124,0.578125,0,0,0.101092896
166,5458.210604052722_sel21_S24.wav,2.10604E+11,S24,108.0478261,184,90.80299212,1,115,19,0,743,0,349,0.858208955,0,0,0.131128848
167,5458.210604052722_sel23_S14.wav,2.10604E+11,S14,109.7810718,297,88.27914748,1,112,63,0,864,0,184,0.64,0,0,0.107795958
168,5458.210604052722_sel25_S7.wav,2.10604E+11,S7,108.9909258,138,80.49655091,1,97,281,0,830,0,0,0.256613757,0,NA,0.080298013
169,5458.210604052722_sel27_S16.wav,2.10604E+11,S16,106.682585,127,76.01528416,1,79,473,0,638,0,0,0.143115942,0,NA,0.066386555
170,5458.210604052722_sel30_S15.wav,2.10604E+11,S15,119.3058449,1892,104.325884,1,27,0,93,157,0,402,1,0.372,0,0.433212996
171,5458.210604052722_sel32_S16.wav,2.10604E+11,S16,108.9222172,286,94.16656703,1,91,0,26,568,0,543,1,0.043771044,0,0.17080292
172,5458.210604052722_sel33_S8.wav,2.10604E+11,S8,115.2735369,324,98.36388019,1,56,0,63,366,0,555,1,0.146853147,0,0.245360825
173,5458.210605052709_sel01_S1.wav,2.10605E+11,S1,116.4037021,249,109.3714429,1,15,0,106,43,0,281,1,0.711409396,0,0.737804878
174,5458.210605052709_sel03_S9.wav,2.10605E+11,S9,107.1934072,190,84.46904655,1,106,153,0,958,0,0,0.409266409,0,NA,0.087099425
175,5458.210605052709_sel06_S10.wav,2.10605E+11,S10,106.6386168,353,68.39487552,1,17,919,0,192,0,0,0.018162393,0,NA,0.015070922
176,5458.210605052709_sel06_S2.wav,2.10605E+11,S2,108.8513378,2914,81.9095797,1,101,231,0,880,0,0,0.304216867,0,NA,0.083333333
177,5458.210605052709_sel08_S3.wav,2.10605E+11,S3,114.5583799,446,86.11126316,1,109,110,0,970,0,31,0.497716895,0,0,0.091673675
178,5458.210605052709_sel10_S4.wav,2.10605E+11,S4,116.4805875,1507,103.6347934,1,30,0,90,177,0,419,1,0.337078652,0,0.404040404
179,5458.210605052709_sel12_S5.wav,2.10605E+11,S5,123.9189956,245,103.971166,1,28,0,92,167,0,411,1,0.355212355,0,0.418118467
180,5458.210605052709_sel13_S6.wav,2.10605E+11,S6,109.2464153,225,89.53191415,1,113,40,0,803,0,268,0.738562092,0,0,0.118200837
