"","Begin_Date","Begin_Hour","Maneuver","Transit","UK","Notes","SiteID"
"422",2019-06-28,13,0,0,NA,NA,"EP"
"423",2019-06-28,14,0,1,0,NA,"EP"
"424",2019-06-28,15,0,1,0,NA,"EP"
"425",2019-06-28,16,0,0,NA,NA,"EP"
"426",2019-06-28,17,0,0,NA,NA,"EP"
"427",2019-06-28,18,0,0,NA,NA,"EP"
"428",2019-06-28,19,0,0,NA,NA,"EP"
"429",2019-06-28,20,0,0,NA,NA,"EP"
"430",2019-06-28,21,0,0,NA,NA,"EP"
"431",2019-06-28,22,0,1,0,NA,"EP"
"432",2019-06-28,23,0,0,NA,NA,"EP"
"433",2019-06-29,0,0,0,NA,NA,"EP"
"434",2019-06-29,1,0,0,NA,NA,"EP"
"435",2019-06-29,2,0,0,NA,NA,"EP"
"436",2019-06-29,3,0,0,NA,NA,"EP"
"437",2019-06-29,4,0,0,NA,NA,"EP"
"438",2019-06-29,5,0,0,NA,NA,"EP"
"439",2019-06-29,6,0,0,NA,NA,"EP"
"440",2019-06-29,7,0,0,NA,NA,"EP"
"441",2019-06-29,8,0,1,0,NA,"EP"
"442",2019-06-29,9,0,0,NA,NA,"EP"
"443",2019-06-29,10,0,1,0,NA,"EP"
"444",2019-06-29,11,0,0,NA,NA,"EP"
"445",2019-06-29,12,0,0,NA,NA,"EP"
"446",2019-06-29,13,0,0,NA,NA,"EP"
"447",2019-06-29,14,0,1,0,NA,"EP"
"448",2019-06-29,15,0,0,NA,NA,"EP"
"449",2019-06-29,16,0,0,NA,NA,"EP"
"450",2019-06-29,17,0,0,NA,NA,"EP"
"451",2019-06-29,18,0,0,NA,NA,"EP"
"452",2019-06-29,19,0,0,NA,NA,"EP"
"453",2019-06-29,20,0,0,NA,NA,"EP"
"454",2019-06-29,21,0,0,NA,NA,"EP"
"455",2019-06-29,22,0,0,NA,NA,"EP"
"456",2019-06-29,23,0,0,NA,NA,"EP"
"457",2019-06-30,0,0,0,NA,NA,"EP"
"458",2019-06-30,1,0,2,0,NA,"EP"
"459",2019-06-30,2,0,0,NA,NA,"EP"
"460",2019-06-30,3,0,0,NA,NA,"EP"
"461",2019-06-30,4,0,0,NA,NA,"EP"
"462",2019-06-30,5,0,0,NA,NA,"EP"
"463",2019-06-30,6,0,0,NA,NA,"EP"
"464",2019-06-30,7,0,0,NA,NA,"EP"
"465",2019-06-30,8,0,0,NA,NA,"EP"
"466",2019-06-30,9,0,0,NA,NA,"EP"
"467",2019-06-30,10,0,0,NA,NA,"EP"
"468",2019-06-30,11,0,0,NA,NA,"EP"
"469",2019-06-30,12,0,0,NA,NA,"EP"
"470",2019-06-30,13,0,0,NA,NA,"EP"
"471",2019-06-30,14,0,0,NA,NA,"EP"
"472",2019-06-30,15,0,0,NA,NA,"EP"
"473",2019-06-30,16,0,0,NA,NA,"EP"
"474",2019-06-30,17,0,0,NA,NA,"EP"
"475",2019-06-30,18,0,0,NA,NA,"EP"
"476",2019-06-30,19,0,0,NA,NA,"EP"
"477",2019-06-30,20,0,0,NA,NA,"EP"
"478",2019-06-30,21,0,0,NA,NA,"EP"
"479",2019-06-30,22,0,0,NA,NA,"EP"
"480",2019-06-30,23,0,0,NA,NA,"EP"
