"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
6 "Spectrogram 1" 1 60803.100710848 60950.136683803 621.3 3167.331 "2018/8/22" "16:55:51.1007" "16:58:18.1367" 147.036 "DTransit" NA 2018-08-22
1 "Spectrogram 1" 1 10211.518247536 10463.649623966 0 6115.5 "2018/8/23" "8:18:55.5182" "8:23:07.6496" 252.1314 "CTransit" NA 2018-08-23
2 "Spectrogram 1" 1 11100.613128893 11376.722617868 59.8 4960.2 "2018/8/23" "8:33:44.6131" "8:38:20.7226" 276.1095 "CTransit" NA 2018-08-23
3 "Spectrogram 1" 1 13653.919697095 14072.649631889 119.5 5776.9 "2018/8/23" "9:16:17.9197" "9:23:16.6496" 418.7299 "CTransit" NA 2018-08-23
4 "Spectrogram 1" 1 18431.999988321 18535.467139857 438.2 3486.1 "2018/8/23" "10:35:55.0000" "10:37:39.4671" 103.4672 "DTransit" NA 2018-08-23
5 "Spectrogram 1" 1 28002.036488823 28031.598529197 737.1 2689.2 "2018/8/23" "13:15:25.0365" "13:15:54.5985" 29.562 "DTransit" NA 2018-08-23
6 "Spectrogram 1" 1 29464.240867898 29653.306558196 1155.4 1553.8 "2018/8/23" "13:39:47.2409" "13:42:56.3066" 189.0657 "DTransit" NA 2018-08-23
7 "Spectrogram 1" 1 29956.810210204 30246.912403908 816.7 4800.8 "2018/8/23" "13:48:00.8102" "13:52:50.9124" 290.1022 "CTransit" NA 2018-08-23
8 "Spectrogram 1" 1 31753.394150122 31880.313862211 398.4 5836.7 "2018/8/23" "14:17:56.3942" "14:20:03.3139" 126.9197 "Maneuver+TransitA" NA 2018-08-23
9 "Spectrogram 1" 1 35547.153278057 35611.270058957 99.6 5936.3 "2018/8/23" "15:21:10.1533" "15:22:14.2701" 64.1168 "CTransit" NA 2018-08-23
10 "Spectrogram 1" 1 84908.9999875 85217.683945605 159.4 7848.6 "2018/8/24" "5:03:49.0000" "5:08:58.6839" 308.684 "CTransit" NA 2018-08-23
1 "Spectrogram 1" 1 10618.42334743 10988.540130414 657.4 2589.6 "2018/8/24" "8:08:27.4233" "8:14:37.5401" 370.1168 "CTransit" NA 2018-08-24
2 "Spectrogram 1" 1 11834.918834865 11895.109481052 1095.6 1633.5 "2018/8/24" "8:28:43.9188" "8:29:44.1095" 60.1906 "DTransit" NA 2018-08-24
3 "Spectrogram 1" 1 22150.11677465 22343.912391408 1195.2 1713.1 "2018/8/24" "11:20:37.1168" "11:23:51.9124" 193.7956 "DTransit" NA 2018-08-24
4 "Spectrogram 1" 1 22375.445253224 22427.999991667 1135.5 3924.3 "2018/8/24" "11:24:22.4453" "11:25:15.0000" 52.5547 "DTransit" NA 2018-08-24
5 "Spectrogram 1" 1 23966.642334535 24314.386979533 0 22705.2 "2018/8/24" "11:50:53.6423" "11:56:41.3870" 347.7446 "CPA" NA 2018-08-24
1 "Spectrogram 1" 1 17072.245298599 17101.23151191 657.4 1015.9 "2018/8/25" "9:36:17.2453" "9:36:46.2315" 28.9862 "DTransit" NA 2018-08-25
2 "Spectrogram 1" 1 21458.364954897 21861.853996791 637.5 2649.4 "2018/8/25" "10:49:23.3650" "10:56:05.8540" 403.489 "DTransit" NA 2018-08-25
3 "Spectrogram 1" 1 22377.9416033 22510.116770484 1055.8 1533.9 "2018/8/25" "11:04:41.9416" "11:06:53.1168" 132.1752 "DTransit" NA 2018-08-25
4 "Spectrogram 1" 1 22768.42334743 22834.116770484 637.5 1693.2 "2018/8/25" "11:11:11.4233" "11:12:17.1168" 65.6934 "DTransit" NA 2018-08-25
5 "Spectrogram 1" 1 23911.620426658 24083.9999875 657.4 1872.5 "2018/8/25" "11:30:15.6204" "11:33:07.0000" 172.3796 "DTransit" NA 2018-08-25
6 "Spectrogram 1" 1 24237.065681965 24409.452547354 79.7 3944.2 "2018/8/25" "11:35:40.0657" "11:38:32.4525" 172.3869 "Maneuver+TransitA" NA 2018-08-25
8 "Spectrogram 1" 1 24432.051084884 24709.27734892 0 5438.2 "2018/8/25" "11:38:55.0511" "11:43:32.2773" 277.2263 "Maneuver+TransitA" NA 2018-08-25
9 "Spectrogram 1" 1 24865.759101384 25523.218954304 159.4 6115.5 "2018/8/25" "11:46:09.7591" "11:57:06.2190" 657.4599 "Maneuver+TransitA" NA 2018-08-25
10 "Spectrogram 1" 1 25879.40875035 26242.299256797 498 3705.2 "2018/8/25" "12:03:02.4088" "12:09:05.2993" 362.8905 "DTransit" NA 2018-08-25
11 "Spectrogram 1" 1 26967.817496001 26995.671507375 79.7 4262.9 "2018/8/25" "12:21:11.8175" "12:21:39.6715" 27.854 "CTransit" NA 2018-08-25
12 "Spectrogram 1" 1 27087.343047019 27216.102174954 0 5717.1 "2018/8/25" "12:23:10.3430" "12:25:19.1022" 128.7591 "DTransit" NA 2018-08-25
13 "Spectrogram 1" 1 27622.773706797 27794.102172871 59.8 3525.9 "2018/8/25" "12:32:06.7737" "12:34:57.1022" 171.3285 "DTransit" NA 2018-08-25
14 "Spectrogram 1" 1 28576.510935189 28831.007293598 179.3 2828.7 "2018/8/25" "12:47:59.5109" "12:52:14.0073" 254.4964 "DTransit" NA 2018-08-25
15 "Spectrogram 1" 1 28847.036488823 28924.160567488 0 1474.1 "2018/8/25" "12:52:30.0365" "12:53:47.1606" 77.1241 "CTransit" NA 2018-08-25
16 "Spectrogram 1" 1 29461.532843066 29543.781008729 99.6 6354.6 "2018/8/25" "13:02:45.5328" "13:04:07.7810" 82.2482 "CTransit" NA 2018-08-25
17 "Spectrogram 1" 1 30241.839397096 30388.992683485 557.8 7589.6 "2018/8/25" "13:15:45.8394" "13:18:12.9927" 147.1533 "Maneuver+TransitA" NA 2018-08-25
18 "Spectrogram 1" 1 30963.678823358 31004.277358805 99.6 5358.6 "2018/8/25" "13:27:47.6788" "13:28:27.2774" 40.5985 "CTransit" NA 2018-08-25
19 "Spectrogram 1" 1 31091.51824337 31260.481746214 39.8 6653.4 "2018/8/25" "13:29:55.5182" "13:32:43.4817" 168.9635 "Maneuver+TransitA" NA 2018-08-25
21 "Spectrogram 1" 1 33283.182467032 33461.999983333 119.5 7589.6 "2018/8/25" "14:06:26.1825" "14:09:25.0000" 178.8175 "Maneuver+TransitA" NA 2018-08-25
22 "Spectrogram 1" 1 34738.817503802 34981.226272369 19.9 5697.2 "2018/8/25" "14:30:42.8175" "14:34:44.2263" 242.4088 "CTransit" NA 2018-08-25
