Site_ID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
EP,6/23/2019,Sunday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,0,0,0,0,0,1,0,0,0,0,0,0,
EP,6/24/2019,Monday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,3,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,4,0,0,0,0,1,0,0,0,0,0,0,
EP,6/24/2019,Monday,5,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,6,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,7,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,8,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,9,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,10,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,11,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,12,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,13,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,14,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,15,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,16,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,17,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,18,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,19,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,20,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,21,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,22,0,0,0,0,0,0,0,0,0,0,0,
EP,6/24/2019,Monday,23,0,0,0,0,0,0,0,0,0,0,0,
EP,6/25/2019,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,
EP,6/25/2019,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,
EP,6/25/2019,Tuesday,2,0,0,0,0,0,0,0,0,0,0,0,
EP,6/25/2019,Tuesday,3,0,0,0,0,0,0,0,0,0,0,0,
