SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes,ExtraNotes
Cod Grounds,4/27/2019,Saturday,15,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/27/2019,Saturday,16,0,0,0,0,0,0,0,0,0,0,1,1,, crunching?
Cod Grounds,4/27/2019,Saturday,17,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/27/2019,Saturday,18,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/27/2019,Saturday,19,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/27/2019,Saturday,20,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/27/2019,Saturday,21,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,22,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/27/2019,Saturday,23,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,2,0,0,0,0,0,0,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,3,0,0,0,0,0,0,0,0,1,0,0,1,, LF p; minke sw distant
Cod Grounds,4/28/2019,Sunday,4,0,0,0,0,0,0,0,0,1,0,0,1,,minke sw distant; minke sw repeated calls;  LF p
Cod Grounds,4/28/2019,Sunday,5,0,0,0,0,0,0,0,0,0,0,1,1,, LF p
Cod Grounds,4/28/2019,Sunday,6,0,0,0,0,1,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,7,0,0,0,0,1,1,0,0,0,0,0,1,, LF p
Cod Grounds,4/28/2019,Sunday,8,0,0,0,0,1,1,0,0,0,0,0,1,, LF p
