SiteID,Begin_Date,Weekday,Begin_hour,TR,M,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
JNE,1/17/22,Monday,17,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,18,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,19,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,20,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,21,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,22,,0,0,0,0,0,0,0,0,
JNE,1/17/22,Monday,23,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,0,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,1,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,2,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,3,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,4,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,5,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,6,,1,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,7,,1,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,8,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,9,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,10,,1,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,11,,1,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,12,,3,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,13,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,14,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,15,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,16,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,17,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,18,,0,0,0,0,0,0,0,0,
JNE,1/18/22,Tuesday,19,,0,0,0,0,0,0,0,0,
