Site_ID,ves_yn,network,npz_id,Dep,Date_week,n_hours,name,Perc_per_hour
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-01-08,16,freq,0.1415929203539823
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-01-15,36,freq,0.21428571428571427
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-01-22,40,freq,0.23809523809523808
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-01-29,29,freq,0.17261904761904762
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-02-05,29,freq,0.17261904761904762
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-02-12,18,freq,0.10714285714285714
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-02-19,26,freq,0.15476190476190477
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-02-26,15,freq,0.08928571428571429
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-03-04,15,freq,0.08928571428571429
JNE,Y,South-west,JMP,JURIEN_202201_JNE,2025-03-11,10,freq,0.0970873786407767
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-01-08,102,freq,0.9026548672566371
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-01-15,144,freq,0.8571428571428571
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-01-22,140,freq,0.8333333333333334
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-01-29,148,freq,0.8809523809523809
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-02-05,142,freq,0.8452380952380952
JSE,N,South-west,JMP,JURIEN_202201_JSE,2025-02-12,137,freq,0.9072847682119205
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-01-08,11,freq,0.09734513274336283
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-01-15,24,freq,0.14285714285714285
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-01-22,28,freq,0.16666666666666666
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-01-29,20,freq,0.11904761904761904
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-02-05,26,freq,0.15476190476190477
JSE,Y,South-west,JMP,JURIEN_202201_JSE,2025-02-12,14,freq,0.09271523178807947
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-02-12,48,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-02-19,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-02-26,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-03-04,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-03-11,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-03-18,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-03-25,167,freq,0.9940476190476191
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-04-01,167,freq,0.9940476190476191
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-04-08,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-04-15,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-04-22,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-04-29,168,freq,1
MRE,N,South-west,MMP,MURAT_202002_MRE,2025-05-06,168,freq,1
MRE,Y,South-west,MMP,MURAT_202002_MRE,2025-03-25,1,freq,0.005952380952380952
MRE,Y,South-west,MMP,MURAT_202002_MRE,2025-04-01,1,freq,0.005952380952380952
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-02-12,48,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-02-19,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-02-26,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-03-04,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-03-11,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-03-18,167,freq,0.9940476190476191
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-03-25,167,freq,0.9940476190476191
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-04-01,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-04-08,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-04-15,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-04-22,168,freq,1
MRW,N,South-west,MMP,MURAT_202002_MRW,2025-04-29,144,freq,1
MRW,Y,South-west,MMP,MURAT_202002_MRW,2025-03-18,1,freq,0.005952380952380952
MRW,Y,South-west,MMP,MURAT_202002_MRW,2025-03-25,1,freq,0.005952380952380952
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-09-30,109,freq,0.9732142857142857
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-10-07,165,freq,0.9821428571428571
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-10-14,159,freq,0.9464285714285714
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-10-21,162,freq,0.9642857142857143
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-10-28,166,freq,0.9880952380952381
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-11-04,164,freq,0.9761904761904762
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-11-11,159,freq,0.9464285714285714
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-11-18,165,freq,0.9821428571428571
NGN,N,Northwest,NMP,NINGALOO_201909_NGN,2025-11-25,8,freq,1
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-09-30,3,freq,0.026785714285714284
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-10-07,3,freq,0.017857142857142856
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-10-14,9,freq,0.05357142857142857
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-10-21,6,freq,0.03571428571428571
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-10-28,2,freq,0.011904761904761904
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-11-04,4,freq,0.023809523809523808
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-11-11,9,freq,0.05357142857142857
NGN,Y,Northwest,NMP,NINGALOO_201909_NGN,2025-11-18,3,freq,0.017857142857142856
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-09-30,106,freq,0.9464285714285714
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-10-07,159,freq,0.9464285714285714
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-10-14,160,freq,0.9523809523809523
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-10-21,154,freq,0.9166666666666666
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-10-28,158,freq,0.9404761904761905
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-11-04,159,freq,0.9464285714285714
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-11-11,153,freq,0.9107142857142857
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-11-18,157,freq,0.9345238095238095
NGS,N,Northwest,NMP,NINGALOO_201909_NGS,2025-11-25,32,freq,1
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-09-30,6,freq,0.05357142857142857
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-10-07,9,freq,0.05357142857142857
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-10-14,8,freq,0.047619047619047616
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-10-21,14,freq,0.08333333333333333
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-10-28,10,freq,0.05952380952380952
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-11-04,9,freq,0.05357142857142857
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-11-11,15,freq,0.08928571428571429
NGS,Y,Northwest,NMP,NINGALOO_201909_NGS,2025-11-18,11,freq,0.06547619047619048
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-01-22,108,freq,0.7941176470588235
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-01-29,145,freq,0.8630952380952381
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-02-05,133,freq,0.7916666666666666
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-02-12,134,freq,0.7976190476190477
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-02-19,141,freq,0.8392857142857143
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-02-26,149,freq,0.8869047619047619
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-03-04,141,freq,0.8392857142857143
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-03-11,134,freq,0.7976190476190477
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-03-18,137,freq,0.8154761904761905
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-03-25,146,freq,0.8690476190476191
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-04-01,138,freq,0.8214285714285714
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-04-08,150,freq,0.8928571428571429
SWS,N,South-west,SWCMP,SWC_202201_SWS,2025-04-15,30,freq,0.9375
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-01-22,28,freq,0.20588235294117646
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-01-29,23,freq,0.13690476190476192
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-02-05,35,freq,0.20833333333333334
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-02-12,34,freq,0.20238095238095238
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-02-19,27,freq,0.16071428571428573
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-02-26,19,freq,0.1130952380952381
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-03-04,27,freq,0.16071428571428573
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-03-11,34,freq,0.20238095238095238
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-03-18,31,freq,0.18452380952380953
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-03-25,22,freq,0.13095238095238096
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-04-01,30,freq,0.17857142857142858
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-04-08,18,freq,0.10714285714285714
SWS,Y,South-west,SWCMP,SWC_202201_SWS,2025-04-15,2,freq,0.0625
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-13,123,freq,0.76875
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-20,114,freq,0.6785714285714286
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-27,134,freq,0.7976190476190477
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-06-03,106,freq,0.6309523809523809
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-06-10,119,freq,0.7083333333333334
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-06-17,137,freq,0.8154761904761905
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-06-24,127,freq,0.7559523809523809
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-07-01,136,freq,0.8095238095238095
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-07-08,157,freq,0.9345238095238095
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-07-15,149,freq,0.8869047619047619
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-07-22,130,freq,0.7738095238095238
TRE,N,South-west,TRMP,TWOROCKS_202105_TRE,2025-07-29,8,freq,1
TRE,Y,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-13,37,freq,0.23125
TRE,Y,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-20,54,freq,0.32142857142857145
TRE,Y,South-west,TRMP,TWOROCKS_202105_TRE,2025-05-27,34,freq,0.20238095238095238
