network,npz_id,Site_ID,Dep,Week,Date_week,Date_noyr,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2000-11-03,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-04,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-05,1,5,0,4
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-06,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-07,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-08,1,3,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-09,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2000-11-10,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-11,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-12,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-13,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-14,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-15,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-16,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2000-11-17,1,1,1,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,47,2025-11-25,2000-11-18,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,47,2025-11-25,2000-11-19,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2000-01-12,1,11,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2000-01-13,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2000-01-14,1,21,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2000-01-15,1,28,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2000-01-16,1,15,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-17,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-18,1,11,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-19,1,5,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-20,1,15,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-21,1,16,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-22,1,22,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2000-01-23,1,16,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-24,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-25,1,5,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-26,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-27,1,2,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-28,1,6,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-29,1,23,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,2025-01-29,2000-01-30,1,7,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-01-31,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-01,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-02,1,3,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-03,1,10,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-04,1,9,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-05,1,38,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,2025-02-05,2000-02-06,1,1,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-07,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-08,1,8,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-09,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-10,1,3,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-11,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-12,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,2025-02-12,2000-02-13,1,8,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,2025-02-19,2000-02-14,1,4,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,2025-02-19,2000-02-15,1,8,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,2025-02-19,2000-02-16,1,1,0,0
