network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-09-30,F,2019-09-27,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-09-30,Sa,2019-09-28,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-09-30,Su,2019-09-29,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-09-30,Th,2019-09-26,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-09-30,W,2019-09-25,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,F,2019-10-04,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,M,2019-09-30,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,Sa,2019-10-05,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,Su,2019-10-06,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,Th,2019-10-03,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,T,2019-10-01,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-07,W,2019-10-02,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,F,2019-10-11,3,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,M,2019-10-07,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,Sa,2019-10-12,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,Su,2019-10-13,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,Th,2019-10-10,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,T,2019-10-08,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-14,W,2019-10-09,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,F,2019-10-18,3,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,M,2019-10-14,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,Sa,2019-10-19,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,Su,2019-10-20,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,Th,2019-10-17,4,0,4,0,0,0,4
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,T,2019-10-15,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-21,W,2019-10-16,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,F,2019-10-25,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,M,2019-10-21,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,Sa,2019-10-26,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,Su,2019-10-27,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,Th,2019-10-24,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,T,2019-10-22,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-10-28,W,2019-10-23,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,F,2019-11-01,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,M,2019-10-28,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGN,2019-11-04,Sa,2019-11-02,0,0,0,0,0,0,0
