network.x,npz_id.x,Site_ID.x,Dep,Begin_Hour_loc,mean_diel,mean_diel_ins,mean_diel_ins_sm,sd_lower,sd_upper,sd_lower_ins,sd_upper_ins,sd_lower_ins_sm,sd_upper_ins_sm
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,-0.2640449438202247,-4.681647940074906e-4,-0.012640449438202247,-0.38394346444389793,-0.14414642319655147,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,4,-0.16292134831460675,-4.681647940074906e-4,-0.012640449438202247,-0.28281986893828,-0.043022827690933504,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,5,0.12921348314606743,-4.681647940074906e-4,0.009831460674157305,0.00931496252239418,0.2491120037697407,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,6,0.3202247191011236,-4.681647940074906e-4,0.009831460674157305,0.20032619847745037,0.44012323972479683,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,7,0.29775280898876405,-4.681647940074906e-4,0.009831460674157305,0.17785428836509082,0.4176513296124373,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,8,0.28651685393258425,-4.681647940074906e-4,0.02106741573033708,0.16661833330891102,0.4064153745562575,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.027960458460698417
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,9,0.3202247191011236,-4.681647940074906e-4,-0.0014044943820224717,0.20032619847745037,0.44012323972479683,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.005488548348338866
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,10,0.2752808988764045,-4.681647940074906e-4,0.021067415730337078,0.15538237825273127,0.39517941950007773,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.027960458460698417
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,11,0.3651685393258427,-4.681647940074906e-4,0.021067415730337078,0.24527001870216947,0.48506705994951593,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.027960458460698417
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,12,0.2303370786516854,-4.681647940074906e-4,0.009831460674157305,0.11043855802801215,0.35023559927535863,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,13,0.24157303370786518,-4.681647940074906e-4,0.009831460674157305,0.12167451308419193,0.36147155433153844,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,14,0.17415730337078653,-4.681647940074906e-4,0.021067415730337078,0.05425878274711328,0.2940558239944598,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.027960458460698417
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,15,-0.03932584269662921,-4.681647940074906e-4,-0.012640449438202247,-0.15922436332030246,0.08057267792704403,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,16,-0.07303370786516854,-4.681647940074906e-4,0.009831460674157305,-0.19293222848884178,0.04686481275850471,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,17,-0.09550561797752809,-4.681647940074906e-4,-0.012640449438202247,-0.21540413860120133,0.02439290264614516,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,18,-0.20786516853932585,-4.681647940074906e-4,-0.012640449438202247,-0.3277636891629991,-0.0879666479156526,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,19,-0.11797752808988764,0.010767790262172285,0.009831460674157305,-0.23787604871356088,0.0019209925337856093,0.009621025401318737,0.011914555123025833,0.009621025401318737,0.016724503404518642
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,20,-0.17415730337078653,-4.681647940074906e-4,-0.012640449438202247,-0.2940558239944598,-0.05425878274711328,-0.0016149296548610384,6.786000668460571e-4,-0.0016149296548610384,-0.005747406707840909
