Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201812_CG,R,N,Temperate East,CGMP,CG,2000-12-27,2018-12-27,22,freq,0.9166666666666666
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-01-03,2019-01-03,6,freq,0.25
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-01-10,2019-01-10,15,freq,0.625
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-01-24,2019-01-24,7,freq,0.2916666666666667
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-01-31,2019-01-31,1,freq,0.041666666666666664
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-02-07,2019-02-07,7,freq,0.2916666666666667
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-02-14,2019-02-14,1,freq,0.041666666666666664
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-12-13,2018-12-13,2,freq,0.08333333333333333
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-12-20,2018-12-20,9,freq,0.375
CGMP_201812_CG,R,Y,Temperate East,CGMP,CG,2000-12-27,2018-12-27,2,freq,0.08333333333333333
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-01-01,2019-01-01,19,freq,0.7916666666666666
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-01-08,2019-01-08,16,freq,0.6666666666666666
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-01-15,2019-01-15,22,freq,0.9166666666666666
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-01-22,2019-01-22,18,freq,0.75
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-01-29,2019-01-29,21,freq,0.875
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-02-05,2019-02-05,16,freq,0.6666666666666666
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-02-12,2019-02-12,24,freq,1
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-02-19,2019-02-19,20,freq,0.8333333333333334
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-12-18,2018-12-18,15,freq,0.625
CGMP_201812_CG,T,N,Temperate East,CGMP,CG,2000-12-25,2018-12-25,19,freq,0.7916666666666666
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-01-01,2019-01-01,5,freq,0.20833333333333334
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-01-08,2019-01-08,8,freq,0.3333333333333333
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-01-15,2019-01-15,2,freq,0.08333333333333333
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-01-22,2019-01-22,6,freq,0.25
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-01-29,2019-01-29,3,freq,0.125
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-02-05,2019-02-05,8,freq,0.3333333333333333
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-02-19,2019-02-19,4,freq,0.16666666666666666
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-12-18,2018-12-18,9,freq,0.375
CGMP_201812_CG,T,Y,Temperate East,CGMP,CG,2000-12-25,2018-12-25,5,freq,0.20833333333333334
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-01-02,2019-01-02,24,freq,1
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-01-09,2019-01-09,16,freq,0.6666666666666666
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-01-16,2019-01-16,23,freq,0.9583333333333334
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-01-23,2019-01-23,20,freq,0.8333333333333334
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-01-30,2019-01-30,24,freq,1
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-02-06,2019-02-06,16,freq,0.6666666666666666
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-02-13,2019-02-13,24,freq,1
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-02-20,2019-02-20,18,freq,0.75
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-12-12,2018-12-12,21,freq,0.875
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-12-19,2018-12-19,11,freq,0.4583333333333333
CGMP_201812_CG,W,N,Temperate East,CGMP,CG,2000-12-26,2018-12-26,22,freq,0.9166666666666666
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-01-09,2019-01-09,8,freq,0.3333333333333333
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-01-16,2019-01-16,1,freq,0.041666666666666664
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-01-23,2019-01-23,4,freq,0.16666666666666666
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-02-06,2019-02-06,8,freq,0.3333333333333333
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-02-20,2019-02-20,6,freq,0.25
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-12-12,2018-12-12,3,freq,0.125
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-12-19,2018-12-19,13,freq,0.5416666666666666
CGMP_201812_CG,W,Y,Temperate East,CGMP,CG,2000-12-26,2018-12-26,2,freq,0.08333333333333333
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-04-12,2019-04-12,24,freq,1
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-04-19,2019-04-19,16,freq,0.6666666666666666
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-04-26,2019-04-26,18,freq,0.75
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-05-03,2019-05-03,23,freq,0.9583333333333334
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-05-10,2019-05-10,22,freq,0.9166666666666666
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-05-17,2019-05-17,12,freq,0.5
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-05-24,2019-05-24,18,freq,0.75
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-05-31,2019-05-31,17,freq,0.7083333333333334
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-06-07,2019-06-07,22,freq,0.9166666666666666
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-06-14,2019-06-14,15,freq,0.625
CGMP_201904_CG,F,N,Temperate East,CGMP,CG,2000-06-21,2019-06-21,19,freq,0.7916666666666666
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-04-19,2019-04-19,8,freq,0.3333333333333333
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-04-26,2019-04-26,6,freq,0.25
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-05-03,2019-05-03,1,freq,0.041666666666666664
CGMP_201904_CG,F,Y,Temperate East,CGMP,CG,2000-05-10,2019-05-10,2,freq,0.08333333333333333
