network,npz_id,Site_ID,Dep,Week,Date_week,Begin_Date_loc,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-02,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-03,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-04,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-05,1,1,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,40,2025-10-07,2019-10-06,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-07,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-08,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-09,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-10,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-11,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-12,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,41,2025-10-14,2019-10-13,1,1,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-14,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-15,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-16,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-17,1,6,1,6
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-18,1,3,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-19,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,42,2025-10-21,2019-10-20,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-21,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-22,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-23,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-24,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-25,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-26,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,43,2025-10-28,2019-10-27,1,3,0,3
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-10-28,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-10-29,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-10-30,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-10-31,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-11-01,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-11-02,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,44,2025-11-04,2019-11-03,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-04,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-05,1,5,0,4
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-06,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-07,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-08,1,3,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-09,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,45,2025-11-11,2019-11-10,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-11,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-12,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-13,1,2,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-14,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-15,1,1,0,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-16,1,2,0,2
Northwest,NMP,NGS,NINGALOO_201909_NGS,46,2025-11-18,2019-11-17,1,1,1,1
Northwest,NMP,NGS,NINGALOO_201909_NGS,47,2025-11-25,2019-11-18,1,0,0,0
Northwest,NMP,NGS,NINGALOO_201909_NGS,47,2025-11-25,2019-11-19,1,0,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2022-01-12,1,11,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2022-01-13,1,2,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2022-01-14,1,21,0,1
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2022-01-15,1,28,0,2
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,2,2025-01-15,2022-01-16,1,15,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-17,1,9,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-18,1,11,0,0
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,3,2025-01-22,2022-01-19,1,5,0,0
